Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR),No. Of Trades
2023-12-31,44.95,45.6,44.5,45.45,0.5,1.11,"643,764","29,108,485.70","1,962"
2023-12-28,44.65,44.95,44.15,44.95,0.3,0.67,"667,064","29,696,349.15","2,271"
2023-12-27,44.95,45.1,44.2,44.65,-0.1,-0.22,"924,542","41,246,573.20","2,908"
2023-12-26,44.7,45.2,44.4,44.75,0.1,0.22,"1,327,443","59,468,536.50","3,343"
2023-12-25,42.5,45.25,42.5,44.65,2.2,5.18,"1,878,095","82,759,801.25","5,043"
2023-12-24,41.8,42.65,41.45,42.45,0.6,1.43,"1,170,926","49,326,831.35","1,837"
2023-12-21,41.95,42.6,41.7,41.85,-0.65,-1.53,"1,195,464","50,180,225.25","2,729"
2023-12-20,42,42.75,41.85,42.5,0.4,0.95,"743,359","31,426,233.65","1,818"
2023-12-19,41.6,42.55,41.4,42.1,0.6,1.45,"1,525,725","64,066,851.75","3,453"
2023-12-18,41.7,41.9,40.95,41.5,-0.1,-0.24,"1,411,670","58,455,373.00","3,279"
2023-12-17,41.8,42.9,40.85,41.6,0.15,0.36,"2,934,328","122,617,077.60","5,915"
2023-12-14,38,41.45,37.95,41.45,3.75,9.95,"6,337,938","255,100,630.90","10,003"
2023-12-13,37.95,38.1,37.4,37.7,-0.3,-0.79,"3,210,481","120,930,203.40","3,713"
2023-12-12,38.4,38.45,37.55,38,-0.3,-0.78,"2,391,012","90,612,817.20","3,331"
2023-12-11,37.9,38.45,37.65,38.3,0.35,0.92,"3,243,533","123,402,838.80","5,143"
2023-12-10,37.9,38.05,37.65,37.95,0.1,0.26,"1,328,275","50,311,934.25","2,245"
2023-12-07,37.2,37.85,37.2,37.85,0.45,1.2,"1,251,817","46,998,666.80","15,745"
2023-12-06,37.3,37.65,37.05,37.4,0,0,"865,583","32,331,925.40","9,520"
2023-12-05,38.15,38.25,37.05,37.4,-0.75,-1.97,"1,430,500","53,705,055.15","4,002"
2023-12-04,38.7,38.75,38.15,38.15,-0.55,-1.42,"812,088","31,173,804.50","3,980"
2023-12-03,38.15,38.8,38,38.7,0.45,1.18,"871,342","33,537,381.35","1,605"